"Time","6265f41ce362","7f0d729b5c43","e77e1fc9e3b9","ff83f9bd38a4"
1591447837000,,,,
1591447838000,1978944,,,1979616
1591447839000,,1979584,1979552,
1591447840000,,,,
1591447841000,,,,
1591447842000,,,,
1591447843000,,,,
1591447844000,1997408,1998688,1997408,1998656
1591447845000,,,,
1591447846000,,,,
1591447847000,,,,
1591447848000,,,,
1591447849000,1990528,1991168,1989888,1989856
1591447850000,,,,
1591447851000,,,,
1591447852000,,,,
1591447853000,,,,
1591447854000,1980864,1983424,1982144,1980832
1591447855000,,,,
1591447856000,,,,
1591447857000,,,,
1591447858000,,,,
1591447859000,1974528,1975808,1975808,1975776
1591447860000,,,,
1591447861000,,,,
1591447862000,,,,
1591447863000,,,,
1591447864000,1965568,1968128,1966848,1966816
1591447865000,,,,
1591447866000,,,,
1591447867000,,,,
1591447868000,,,,
1591447869000,1957888,1960448,1960448,1962336
1591447870000,,,,
1591447871000,,,,
1591447872000,,,,
1591447873000,,,,
1591447874000,1950208,,,1950816
1591447875000,,,1950144,
1591447876000,,,,
1591447877000,,1980704,,
1591447878000,,,,
1591447879000,2005248,,,2007136
1591447880000,,,2006528,
1591447881000,,,,
1591447882000,,1976864,,
1591447883000,,,,
1591447884000,,,,
1591447885000,1998208,,1998208,1999456
1591447886000,,,,
1591447887000,,2004384,,
1591447888000,,,,
1591447889000,,,,
1591447890000,1988608,,1991168,1991136
1591447891000,,,,
1591447892000,,1979008,,
1591447893000,,,,
1591447894000,,,,
1591447895000,1988352,,1973408,1948256
1591447896000,,,,
1591447897000,,1967584,,
1591447898000,,,,
1591447899000,,,,
1591447900000,1969024,,1957888,1974304
1591447901000,,,,
1591447902000,,1955616,,
1591447903000,,,,
1591447904000,,,,
1591447905000,1956640,,1945728,1960864
1591447906000,,,,
1591447907000,,1939872,,
1591447908000,,,,
1591447909000,,,,
1591447910000,1942752,,,1949344
1591447911000,,,,
1591447912000,,,,
1591447913000,,1932544,1940416,
1591447914000,,,,
1591447915000,,,,1935264
1591447916000,1986912,,,
1591447917000,,,,
1591447918000,,1922784,1930112,
1591447919000,,,,
1591447920000,,,,
1591447921000,1968384,,,
1591447922000,,,,
1591447923000,,1978656,1978528,
1591447924000,,,,
1591447925000,,,,
1591447926000,1949088,,,
1591447927000,,,,
1591447928000,,1961600,1979840,
1591447929000,,,,
1591447930000,,,,
1591447931000,1935296,,,
1591447932000,,,,
1591447933000,,1952000,1968416,
1591447934000,,,,
1591447935000,,,,
1591447936000,1922432,,,
1591447937000,,,,
1591447938000,,1965504,1971136,
1591447939000,,,,
1591447940000,,,,
1591447941000,1980512,,,
1591447942000,,,,
1591447943000,,1950048,1954336,
1591447944000,,,,
1591447945000,,,,
1591447946000,1961472,,,
1591447947000,,,,
1591447948000,,,,
1591447949000,,1927520,1934048,
1591447950000,,,,
1591447951000,,,,
1591447952000,1977056,,,
1591447953000,,,,
1591447954000,,1906400,1918400,
1591447955000,,,,
1591447956000,,,,
1591447957000,1961536,,,
1591447958000,,,,
1591447959000,,,1970464,
1591447960000,,,,
1591447961000,,,,
1591447962000,1948672,,,
1591447963000,,,,
1591447964000,,,1940448,
1591447965000,,,,
1591447966000,,,,
1591447967000,1916288,,,
1591447968000,,,,
1591447969000,,,1913472,
1591447970000,,,,
1591447971000,,,,
1591447972000,1905152,,,
1591447973000,,,,
1591447974000,,,1964896,
1591447975000,,,,
1591447976000,,,,
1591447977000,1957632,,,
1591447978000,,,,
1591447979000,,,1951584,
1591447980000,,,,
1591447981000,,,,
1591447982000,1942912,,,
1591447983000,,,,
1591447984000,,,,
1591447985000,,,1928096,
1591447986000,,,,
1591447987000,,,,
1591447988000,1961664,,,
1591447989000,,,,
1591447990000,,,1973632,
1591447991000,,,,
1591447992000,,,,
1591447993000,1946752,,,
1591447994000,,,,
1591447995000,,,1955744,
1591447996000,,,,
1591447997000,,,,
1591447998000,1933312,,,
1591447999000,,,,
1591448000000,,,1942592,
1591448001000,,,,
1591448002000,,,,
1591448003000,,,,
1591448004000,,,,
1591448005000,,,1938912,
1591448006000,,,,
1591448007000,,,,
1591448008000,,,,
1591448009000,,,,
1591448010000,,,1907488,
1591448011000,,,,
1591448012000,,,,
1591448013000,,,,
1591448014000,,,,
1591448015000,,,,
1591448016000,,,1900064,
1591448017000,,,,
1591448018000,,,,
1591448019000,,,,
1591448020000,,,,
1591448021000,,,1883552,
1591448022000,,,,
1591448023000,,,,
1591448024000,,,,
1591448025000,,,,
1591448026000,,,1932000,
1591448027000,,,,
1591448028000,,,,
1591448029000,,,,
1591448030000,,,,
1591448031000,,,1910304,
1591448032000,,,,
1591448033000,,,,
1591448034000,,,,
1591448035000,,,,
1591448036000,,,1902560,
1591448037000,,,,
1591448038000,,,,
1591448039000,,,,
1591448040000,,,,
1591448041000,,,1941152,
1591448042000,,,,
1591448043000,,,,
1591448044000,,,,
1591448045000,,,,
1591448046000,,,,
1591448047000,,,1925632,
1591448048000,,,,
1591448049000,,,,
1591448050000,,,,
1591448051000,,,,
1591448052000,,,1915648,
1591448053000,,,,
1591448054000,,,,
1591448055000,,,,
1591448056000,,,,
1591448057000,,,1906624,
1591448058000,,,,
1591448059000,,,,
1591448060000,,,,
1591448061000,,,,
1591448062000,,,1929408,
1591448063000,,,,
1591448064000,,,,
1591448065000,,,,
1591448066000,,,,
1591448067000,,,1922912,
1591448068000,,,,
1591448069000,,,,
1591448070000,,,,
1591448071000,,,,
1591448072000,,,1912384,
1591448073000,,,,
1591448074000,,,,
1591448075000,,,,
1591448076000,,,,
1591448077000,,,1939456,
1591448078000,,,,
1591448079000,,,,
1591448080000,,,,
1591448081000,,,,
1591448082000,,,,
1591448083000,,,1924128,
1591448084000,,,,
1591448085000,,,,
1591448086000,,,,
1591448087000,,,,
1591448088000,,,1915232,
1591448089000,,,,
1591448090000,,,,
1591448091000,,,,
1591448092000,,,,
1591448093000,,,1906432,
1591448094000,,,,
1591448095000,,,,
1591448096000,,,,
1591448097000,,,,
1591448098000,,,1929312,

