Time,6265f41ce362,7f0d729b5c43,e77e1fc9e3b9,ff83f9bd38a4
0,0,0,0,0
10,5,5,5,5
20,15,15,15,15
30,25,25,25,25
40,36,38,36,36
50,46,48,46,46
60,56,58,56,56
70,66,68,66,66
80,77,74,66,77
90,87,84,84,77
100,97,94,94,77
110,108,105,105,77
120,118,115,115,77
130,128,115,125,77
140,139,115,135,77
150,144,115,146,77
160,154,115,156,77
170,159,115,166,77
180,159,115,177,77
190,159,115,187,77
200,159,115,197,77
210,159,115,208,77
220,159,115,218,77
230,159,115,228,77
240,159,115,239,77
250,159,115,244,77
260,159,115,254,77
270,159,115,264,77
280,159,115,275,77
290,159,115,285,77
300,159,115,290,77