Time,60b90bf4acfc,a4a5072f8ff0,b6759833b9d8,fb897af970b5
0,0,0,0,0
10,5,0,5,5
20,15,15,15,15
30,25,25,25,25
40,36,35,36,36
50,46,46,46,46
60,56,56,56,56
70,66,66,67,56
80,77,77,67,56
90,87,87,67,56
100,92,97,67,5
110,103,102,67,10
120,113,113,67,0
130,123,123,67,10
140,133,133,67,10
150,144,144,0,10
160,154,154,10,0
170,164,164,20,10
180,175,175,20,20
190,185,185,20,25
200,195,195,0,0
210,206,205,10,10
220,216,216,20,20
230,226,226,31,31
240,236,236,41,41
250,247,247,46,51
260,257,257,56,61
270,262,267,67,67
280,273,272,77,77
290,283,283,87,87
300,293,293,98,98
310,303,303,110,108
320,314,314,120,118
330,319,319,125,123
340,319,319,125,123