Time,20186a2fcafd,2e9b4f244ffc,a0962f33928e,ef468aff4397
0,0,0,0,0
5,0,0,0,0
10,5,5,5,5
15,10,10,10,10
20,15,15,15,15
25,20,20,20,20
30,25,25,25,25
35,31,30,31,31
40,36,36,36,36
45,41,41,41,41
50,46,46,46,46
55,51,51,51,51
60,56,56,56,56
65,61,61,61,61
70,66,66,66,66
75,72,72,72,72
80,77,2,77,77
85,82,1,82,82
90,87,1,87,87
95,92,1,92,92
100,97,2,97,97
105,103,2,103,102
110,108,0,108,108
115,113,5,113,113
120,118,10,118,118
125,123,15,123,123
130,128,21,128,128
135,128,26,128,133
140,133,26,133,139
145,139,31,139,144
150,144,36,144,144
155,149,41,149,149
160,154,46,154,154
165,159,52,159,159
170,164,57,164,164
175,170,62,170,169
180,175,67,175,175
185,180,72,180,180
190,185,77,185,185
195,190,82,190,190
200,195,88,195,195
205,200,93,200,200
210,206,98,206,206
215,211,103,211,211
220,216,108,216,216
225,221,113,221,221
230,221,113,221,221