"Time","05a1edad2fbe","475b23bd6fe1","61e1d49d0982","6501f2170a37"
1591462336000,,,,
1591462337000,,,,
1591462338000,97984,97952,97920,97952
1591462339000,,,,
1591462340000,,,,
1591462341000,,,,
1591462342000,,,,
1591462343000,78208,78208,78240,78208
1591462344000,,,,
1591462345000,,,,
1591462346000,,,,
1591462347000,,,,
1591462348000,85728,86368,87040,85728
1591462349000,,,,
1591462350000,,,,
1591462351000,,,,
1591462352000,,,,
1591462353000,94752,95392,95424,94112
1591462354000,,,,
1591462355000,,,,
1591462356000,,,,
1591462357000,,,,
1591462358000,,,,101088
1591462359000,98528,100448,100480,
1591462360000,,,,
1591462361000,,,,
1591462362000,,,,
1591462363000,,,,108768
1591462364000,111328,112608,111360,
1591462365000,,,,
1591462366000,,,,
1591462367000,,,,
1591462368000,,,,
1591462369000,123552,122912,121600,
1591462370000,,,,
1591462371000,,,,94848
1591462372000,,,,
1591462373000,,,,
1591462374000,129248,129248,128000,
1591462375000,,,,
1591462376000,,,,97888
1591462377000,,,,
1591462378000,,,,
1591462379000,74208,74848,74240,
1591462380000,,,,
1591462381000,,,,69728
1591462382000,,,,
1591462383000,,,,
1591462384000,83168,82528,82560,
1591462385000,,,,
1591462386000,,,,73568
1591462387000,,,,
1591462388000,,,,
1591462389000,89568,89568,89600,
1591462390000,,,,
1591462391000,,,,77408
1591462392000,,,,
1591462393000,,,,
1591462394000,,97248,97280,
1591462395000,97248,,,
1591462396000,,,,81888
1591462397000,,,,
1591462398000,,,,
1591462399000,,,,
1591462400000,105568,104928,105600,
1591462401000,,,,85728
1591462402000,,,,
1591462403000,,,,
1591462404000,,,,
1591462405000,112608,115232,113280,
1591462406000,,,,
1591462407000,,,,100704
1591462408000,,,,
1591462409000,,,,
1591462410000,124896,123712,118496,
1591462411000,,,,
1591462412000,,,,120608
1591462413000,,,,
1591462414000,,,,
1591462415000,139872,85856,87488,
1591462416000,,,,
1591462417000,,,,137408
1591462418000,,,,
1591462419000,,,,
1591462420000,101472,106784,105952,
1591462421000,,,,
1591462422000,,,,110816
1591462423000,,,,
1591462424000,,,,
1591462425000,116192,120160,118752,
1591462426000,,,,
1591462427000,,,,122496
1591462428000,,,,
1591462429000,,,,
1591462430000,,,,
1591462431000,128352,134688,132832,
1591462432000,,,,129856
1591462433000,,,,
1591462434000,,,,
1591462435000,,,,
1591462436000,104480,97408,,
1591462437000,,,,
1591462438000,,,,132672
1591462439000,,,,
1591462440000,,,,
1591462441000,89376,165824,,
1591462442000,,,,
1591462443000,,,,145472
1591462444000,,,,
1591462445000,,,,
1591462446000,108896,108096,,
1591462447000,,,,
1591462448000,,,,153664
1591462449000,,,,
1591462450000,,,,
1591462451000,123616,89440,,
1591462452000,,,,
1591462453000,,,,102720
1591462454000,,,,
1591462455000,,,,
1591462456000,107008,110656,,
1591462457000,,,,
1591462458000,,,,128000
1591462459000,,,,
1591462460000,,,,
1591462461000,121088,125376,,
1591462462000,,,,
1591462463000,,,,143200
1591462464000,,,,
1591462465000,,,,
1591462466000,,,,
1591462467000,134528,,,
1591462468000,,,,176800
1591462469000,,,,
1591462470000,,,,
1591462471000,,,,
1591462472000,159296,,,
1591462473000,,,,
1591462474000,,,,198528
1591462475000,,,,
1591462476000,,,,
1591462477000,104480,,,
1591462478000,,,,
1591462479000,,,,213152
1591462480000,,,,
1591462481000,,,,
1591462482000,122080,,,
1591462483000,,,,
1591462484000,,,,115040
1591462485000,,,,
1591462486000,,,,
1591462487000,99040,,,
1591462488000,,,,
1591462489000,,,,126464
1591462490000,,,,
1591462491000,,,,
1591462492000,119968,,,
1591462493000,,,97952,
1591462494000,,,,133184
1591462495000,,,,
1591462496000,,,,
1591462497000,,,,
1591462498000,135904,,79232,
1591462499000,,,,154528
1591462500000,,,,
1591462501000,,,,
1591462502000,,,,
1591462503000,149248,,87328,
1591462504000,,,,
1591462505000,,,,184864
1591462506000,,,,
1591462507000,,,,
1591462508000,162432,,96352,
1591462509000,,,,
1591462510000,,,,197344
1591462511000,,,,
1591462512000,,,,
1591462513000,116896,,103328,
1591462514000,,,,
1591462515000,,,,213344
1591462516000,,,,
1591462517000,,,,
1591462518000,137888,,109888,
1591462519000,,,,
1591462520000,,,,118816
1591462521000,,,,
1591462522000,,,,
1591462523000,107296,,118048,
1591462524000,,,,
1591462525000,,,,126656
1591462526000,,,,
1591462527000,,,,
1591462528000,136576,,,
1591462529000,,,125728,
1591462530000,,,,141216
1591462531000,,,,
1591462532000,,,,
1591462533000,,,,
1591462534000,160032,,,
1591462535000,,,,160736
1591462536000,,,,
1591462537000,,,,
1591462538000,,,,
1591462539000,167872,,,
1591462540000,,,,
1591462541000,,,,154400
1591462542000,,,,
1591462543000,,,,
1591462544000,102336,,,
1591462545000,,,,
1591462546000,,,,179168
1591462547000,,,,
1591462548000,,,,
1591462549000,119360,,,
1591462550000,,,,
1591462551000,,,,107168
1591462552000,,,,
1591462553000,,,,
1591462554000,144768,,,
1591462555000,,,,
1591462556000,,,,115744
1591462557000,,,,
1591462558000,,,,
1591462559000,115232,,,
1591462560000,,,,
1591462561000,,,,117184
1591462562000,,,,
1591462563000,,,,
1591462564000,,,,
1591462565000,139040,,,
1591462566000,,,,127232
1591462567000,,,,
1591462568000,,,,
1591462569000,,,,
1591462570000,160288,,,
1591462571000,,,,
1591462572000,,,,136160
1591462573000,,,,
1591462574000,,,,
1591462575000,177120,,,
1591462576000,,,,
1591462577000,,,,145536
1591462578000,,,,
1591462579000,,,,
1591462580000,100352,,,
1591462581000,,,,
1591462582000,,,,154304
1591462583000,,,,
1591462584000,,,,
1591462585000,120864,,,
1591462586000,,,,
1591462587000,,,,103776
1591462588000,,,,
1591462589000,,,,
1591462590000,135840,,,
1591462591000,,,,
1591462592000,,,,104160
1591462593000,,,,
1591462594000,,,,
1591462595000,,,,
1591462596000,114464,,,
1591462597000,,,,121472
1591462598000,,,,
1591462599000,,,,
1591462600000,,,,
1591462601000,133472,,,
1591462602000,,,,
1591462603000,,,,130016
1591462604000,,,,
1591462605000,,,,
1591462606000,150112,,,
1591462607000,,,,
1591462608000,,,,139360
1591462609000,,,,
1591462610000,,,,
1591462611000,161056,,,
1591462612000,,,,
1591462613000,,,,148608
1591462614000,,,,
1591462615000,,,,
1591462616000,106944,,,
1591462617000,,,,
1591462618000,,,,165696
1591462619000,,,,
1591462620000,,,,
1591462621000,117056,,,
1591462622000,,,,
1591462623000,,,,106240
1591462624000,,,,
1591462625000,,,,
1591462626000,130496,,,
1591462627000,,,,
1591462628000,,,,116608
1591462629000,,,,
1591462630000,,,,
1591462631000,,,,
1591462632000,113856,,,
1591462633000,,,,141216
1591462634000,,,,
1591462635000,,,,
1591462636000,,,,
1591462637000,128576,,,
1591462638000,,,,
1591462639000,,,,158848
1591462640000,,,,
1591462641000,,,,
1591462642000,143936,,,
1591462643000,,,,
1591462644000,,,,177920
1591462645000,,,,
1591462646000,,,,
1591462647000,156096,,,
1591462648000,,,,
1591462649000,,,,196160
1591462650000,,,,
1591462651000,,,,

